day_of_year,tmin_95p,tmax_95p
1,10.28,16.59
2,10.24,15.67
3,9.45,14.51
4,8.82,15.75
5,9.72,16.73
6,11.34,17.11
7,10.18,15.77
8,10.47,15.71
9,11.12,16.44
10,10.74,15.96
11,9.89,16.89
12,9.55,15.73
13,9.36,14.67
14,9.05,15.38
15,8.23,15.82
16,10.71,15.04
17,8.48,15.51
18,9.08,16.0
19,9.45,15.94
20,9.37,16.72
21,10.4,16.7
22,8.3,16.51
23,10.13,15.99
24,8.99,16.21
25,10.47,16.34
26,9.59,16.16
27,9.09,16.31
28,8.74,15.54
29,9.1,16.8
30,8.71,16.58
31,8.76,16.55
32,9.03,17.56
33,9.7,15.94
34,10.89,17.09
35,10.96,16.85
36,11.1,17.55
37,9.47,18.26
38,9.44,17.95
39,8.41,16.92
40,8.88,16.2
41,8.79,16.27
42,9.83,16.6
43,10.06,17.15
44,9.4,17.56
45,8.71,17.73
46,10.09,17.38
47,8.86,17.4
48,8.65,18.02
49,9.65,19.42
50,10.03,17.94
51,10.01,17.33
52,10.22,16.74
53,9.59,17.38
54,10.58,17.5
55,10.59,17.54
56,9.12,17.81
57,11.45,18.72
58,10.62,19.11
59,9.57,17.74
60,10.2,18.36
61,10.85,20.66
62,10.4,20.02
63,10.75,21.58
64,11.28,19.8
65,11.17,19.91
66,11.83,19.29
67,11.65,18.77
68,12.06,18.02
69,10.79,19.49
70,10.42,19.25
71,11.07,18.7
72,10.16,19.35
73,10.33,20.34
74,9.6,20.44
75,10.88,19.74
76,11.35,20.11
77,11.87,21.89
78,11.92,21.02
79,11.94,20.39
80,12.03,22.26
81,11.75,21.73
82,12.03,21.84
83,12.15,22.26
84,12.88,21.69
85,13.47,21.7
86,11.56,22.31
87,12.65,21.68
88,12.1,21.84
89,11.68,20.97
90,12.96,20.76
91,12.26,22.34
92,13.15,21.9
93,11.67,21.97
94,11.68,21.63
95,13.24,23.22
96,12.82,22.88
97,12.62,22.63
98,13.16,24.0
99,12.42,23.52
100,13.07,22.26
101,13.48,23.45
102,12.94,23.48
103,14.22,24.74
104,14.72,26.35
105,15.87,26.76
106,14.74,24.84
107,13.5,25.19
108,14.92,24.59
109,13.89,24.2
110,15.01,25.24
111,14.77,24.47
112,14.13,25.26
113,14.93,25.21
114,13.94,25.45
115,15.03,25.98
116,14.05,26.16
117,15.35,26.38
118,16.6,27.17
119,16.93,27.42
120,16.77,28.16
121,16.93,29.43
122,16.18,29.22
123,16.57,29.72
124,17.58,29.5
125,17.74,28.68
126,17.84,29.94
127,17.22,29.12
128,17.32,28.35
129,17.6,28.42
130,16.36,28.76
131,17.17,28.95
132,17.94,30.06
133,17.57,30.45
134,18.55,30.8
135,18.88,29.48
136,19.41,30.53
137,18.9,29.11
138,18.78,30.8
139,20.06,32.15
140,20.52,31.02
141,19.26,31.94
142,19.99,32.42
143,19.97,32.13
144,19.34,32.25
145,19.25,32.45
146,19.92,29.78
147,19.59,30.85
148,18.96,31.29
149,19.19,32.5
150,20.11,33.0
151,21.06,31.58
152,20.44,32.62
153,21.3,31.97
154,20.77,30.5
155,20.11,31.68
156,21.02,33.68
157,19.94,31.13
158,20.7,31.9
159,21.21,33.01
160,22.55,33.47
161,21.5,32.65
162,21.1,33.98
163,21.16,34.19
164,22.41,34.52
165,22.82,35.0
166,23.17,35.14
167,22.69,35.82
168,22.84,35.95
169,23.05,35.12
170,23.0,37.6
171,24.57,36.76
172,22.86,35.29
173,23.41,34.82
174,24.12,34.94
175,24.94,36.54
176,24.7,36.38
177,24.59,38.57
178,25.14,36.22
179,24.75,35.52
180,24.36,34.8
181,23.34,35.68
182,23.72,36.37
183,23.85,36.91
184,24.35,36.02
185,23.67,38.56
186,23.76,37.77
187,25.45,37.1
188,24.62,36.1
189,24.83,35.7
190,24.02,37.44
191,24.89,38.32
192,24.37,36.4
193,24.5,36.26
194,24.46,37.99
195,24.57,35.67
196,24.41,36.31
197,25.19,37.67
198,25.27,36.92
199,24.19,35.49
200,24.28,36.67
201,24.5,37.03
202,24.16,35.5
203,23.96,36.08
204,24.76,36.53
205,24.6,36.57
206,25.31,37.54
207,25.7,35.97
208,24.42,36.51
209,24.57,37.45
210,25.63,37.09
211,25.43,37.0
212,25.31,36.83
213,25.21,36.27
214,24.82,36.88
215,25.67,36.37
216,24.45,36.64
217,25.45,36.54
218,25.01,37.09
219,24.9,37.57
220,24.65,36.85
221,25.44,36.42
222,25.03,36.31
223,25.34,37.46
224,25.53,36.96
225,23.87,36.81
226,23.89,36.32
227,24.64,37.13
228,24.05,36.46
229,24.34,36.79
230,23.99,36.4
231,24.03,36.27
232,24.07,36.93
233,25.16,37.53
234,24.5,37.56
235,24.8,37.07
236,24.27,36.72
237,23.66,37.2
238,23.92,36.82
239,24.28,36.35
240,23.35,36.21
241,24.4,35.81
242,22.99,35.11
243,23.96,36.23
244,23.79,37.22
245,23.12,34.28
246,24.47,33.77
247,22.88,33.74
248,23.56,34.14
249,22.76,32.84
250,22.03,33.32
251,21.76,32.43
252,22.07,32.96
253,22.52,33.12
254,21.91,33.2
255,22.16,33.74
256,21.35,32.91
257,21.94,33.47
258,22.13,33.76
259,21.0,31.77
260,20.82,32.08
261,22.13,33.22
262,22.39,33.92
263,21.67,32.72
264,20.94,31.38
265,21.2,31.22
266,21.66,32.2
267,21.41,30.32
268,21.08,30.29
269,20.5,31.36
270,20.5,31.42
271,20.4,32.39
272,20.65,32.4
273,20.85,32.22
274,21.02,31.6
275,20.37,30.89
276,20.12,30.14
277,20.28,30.13
278,20.94,30.2
279,19.61,30.37
280,19.78,28.64
281,19.16,28.71
282,19.28,28.34
283,18.82,29.34
284,18.72,28.71
285,18.71,29.55
286,19.04,27.83
287,18.86,26.95
288,18.01,27.16
289,19.12,28.9
290,19.78,28.56
291,18.5,30.32
292,18.13,27.46
293,17.66,27.11
294,18.13,27.03
295,18.51,27.6
296,17.84,27.42
297,17.88,26.82
298,17.11,26.19
299,17.03,25.52
300,16.37,26.24
301,16.04,24.64
302,17.05,24.94
303,16.72,25.32
304,16.91,24.33
305,16.88,27.21
306,17.34,26.86
307,16.1,25.6
308,17.17,24.39
309,16.06,23.5
310,16.72,24.31
311,16.9,23.14
312,16.34,23.43
313,17.73,24.24
314,16.11,23.12
315,15.14,23.17
316,15.79,23.73
317,14.63,21.63
318,14.76,21.69
319,14.73,20.57
320,14.32,20.67
321,14.66,21.64
322,14.13,20.68
323,14.15,21.08
324,14.15,20.53
325,13.97,20.09
326,13.61,20.43
327,14.45,20.19
328,13.32,19.63
329,12.89,18.56
330,12.81,19.29
331,13.69,19.29
332,14.35,19.08
333,13.82,19.5
334,14.3,19.5
335,14.74,19.33
336,14.87,19.82
337,12.91,20.1
338,12.84,19.67
339,13.1,18.85
340,11.7,17.91
341,12.35,17.75
342,11.81,17.86
343,10.38,16.62
344,10.4,17.72
345,10.67,16.68
346,11.54,16.83
347,11.32,17.3
348,10.17,17.13
349,11.48,17.08
350,11.4,17.78
351,10.55,17.79
352,9.86,16.76
353,10.85,16.37
354,12.2,17.27
355,10.46,17.41
356,10.2,17.37
357,10.65,16.75
358,10.87,17.63
359,11.46,17.21
360,11.54,17.91
361,11.14,17.49
362,12.47,16.9
363,11.56,17.14
364,10.3,15.84
365,10.38,16.46
