day_of_year,tmin_95p,tmax_95p
1,6.4,11.05
2,7.46,11.75
3,7.36,11.64
4,7.26,11.92
5,6.83,11.68
6,8.69,11.8
7,7.89,11.45
8,7.46,12.25
9,8.8,13.2
10,7.61,12.46
11,6.78,11.67
12,7.69,11.78
13,9.45,11.89
14,7.43,10.67
15,7.1,11.87
16,8.66,11.78
17,7.1,10.66
18,5.74,12.0
19,9.8,12.28
20,9.19,12.14
21,7.46,11.53
22,5.69,10.52
23,6.13,11.3
24,6.44,12.06
25,7.46,11.74
26,6.06,11.13
27,6.92,11.72
28,7.82,11.86
29,8.15,12.06
30,7.98,11.96
31,8.17,11.7
32,8.94,12.24
33,9.46,12.46
34,5.92,11.42
35,7.62,11.59
36,8.96,11.59
37,8.49,10.93
38,6.04,10.88
39,6.5,11.26
40,6.57,11.86
41,6.26,11.13
42,9.21,12.28
43,8.34,12.1
44,6.38,11.2
45,4.11,11.91
46,7.0,13.11
47,6.19,12.15
48,5.85,11.39
49,6.22,10.9
50,6.11,11.39
51,8.13,12.51
52,8.87,12.38
53,8.79,13.05
54,8.7,13.78
55,8.26,12.7
56,7.39,12.17
57,7.1,12.82
58,7.26,12.64
59,7.94,12.35
60,7.36,12.27
61,7.05,12.56
62,7.84,11.54
63,6.31,12.25
64,7.26,12.91
65,7.56,13.26
66,8.03,14.06
67,8.62,13.57
68,8.01,14.94
69,8.08,13.72
70,8.63,14.16
71,8.03,15.51
72,7.03,14.46
73,7.13,15.03
74,7.24,15.19
75,8.89,15.15
76,8.76,15.91
77,7.53,14.64
78,9.86,14.93
79,9.46,13.65
80,7.81,14.13
81,7.55,14.23
82,7.88,15.52
83,8.11,15.66
84,8.31,15.63
85,8.2,13.94
86,8.11,15.7
87,7.18,15.59
88,8.73,17.0
89,9.42,18.01
90,9.05,16.88
91,9.16,17.53
92,9.49,17.23
93,8.02,17.68
94,8.97,16.23
95,8.79,15.81
96,9.83,17.71
97,7.48,16.92
98,6.82,18.0
99,7.52,19.68
100,8.16,18.6
101,9.03,18.49
102,8.21,18.3
103,8.43,18.83
104,9.25,18.59
105,7.46,21.53
106,8.5,19.4
107,9.43,18.77
108,8.61,18.55
109,8.96,21.58
110,8.75,22.72
111,9.21,22.29
112,9.43,22.1
113,9.94,20.35
114,9.81,20.62
115,9.79,20.11
116,9.53,17.95
117,9.3,19.01
118,10.7,19.08
119,9.73,20.81
120,10.69,19.27
121,11.28,20.49
122,9.69,19.98
123,9.31,20.9
124,10.81,22.11
125,10.91,20.52
126,11.02,22.7
127,11.48,23.74
128,10.86,21.89
129,12.11,22.28
130,11.41,22.45
131,12.99,22.78
132,10.95,23.04
133,11.21,22.53
134,11.1,20.81
135,11.9,22.77
136,12.15,22.4
137,12.7,21.36
138,12.4,20.91
139,11.05,21.45
140,11.65,22.34
141,12.58,23.1
142,12.22,23.73
143,11.29,23.35
144,12.13,24.14
145,12.95,23.99
146,13.88,24.04
147,13.9,24.26
148,14.01,23.45
149,13.87,23.49
150,13.9,21.8
151,13.04,22.91
152,12.88,23.99
153,14.07,23.93
154,12.34,22.87
155,12.31,22.55
156,12.39,23.04
157,14.16,23.59
158,14.29,23.6
159,13.36,25.17
160,14.66,24.94
161,14.54,23.34
162,14.69,23.32
163,15.09,23.24
164,14.16,22.83
165,13.65,22.68
166,13.94,24.15
167,13.99,24.39
168,14.58,24.53
169,15.2,26.3
170,16.73,28.12
171,16.62,27.34
172,15.94,24.1
173,14.52,25.42
174,14.45,24.47
175,16.22,26.63
176,15.92,26.71
177,15.33,27.15
178,15.87,27.82
179,15.58,26.37
180,15.32,26.44
181,15.33,27.03
182,15.69,27.54
183,17.26,26.52
184,15.92,25.66
185,17.11,26.18
186,16.61,26.01
187,16.62,26.69
188,16.54,26.73
189,15.55,25.57
190,15.46,26.48
191,15.11,26.32
192,16.73,26.39
