day_of_year,tmin_95p,tmax_95p
1,9.21,14.87
2,7.69,13.43
3,10.8,15.1
4,9.07,14.3
5,8.79,14.47
6,9.19,14.97
7,10.82,16.65
8,10.42,15.75
9,9.09,15.49
10,9.37,15.31
11,9.35,14.95
12,9.26,14.95
13,7.66,14.91
14,8.67,14.14
15,7.94,14.28
16,6.55,13.96
17,9.58,13.81
18,8.2,13.69
19,9.98,14.58
20,9.18,14.29
21,8.38,15.08
22,8.46,15.15
23,7.92,15.22
24,8.42,14.34
25,8.27,14.84
26,7.92,14.14
27,6.35,13.85
28,8.09,14.74
29,8.18,14.41
30,8.21,13.94
31,10.52,14.59
32,9.43,15.21
33,10.74,15.26
34,11.13,16.12
35,9.24,16.02
36,8.96,14.64
37,8.51,15.33
38,7.66,15.73
39,9.23,15.51
40,9.41,14.46
41,8.78,14.95
42,8.72,15.39
43,7.13,15.72
44,9.33,15.49
45,7.88,16.59
46,8.7,16.41
47,8.94,16.17
48,9.12,16.43
49,8.96,16.19
50,8.9,15.37
51,7.59,16.15
52,7.45,16.07
53,8.76,15.78
54,9.38,15.83
55,8.76,16.87
56,10.12,16.62
57,9.8,16.23
58,8.89,16.31
59,9.69,16.46
60,10.37,17.37
61,10.73,18.33
62,10.12,18.16
63,9.5,18.86
64,9.68,18.33
65,9.99,18.33
66,11.37,18.87
67,9.77,18.61
68,9.86,18.4
69,9.04,17.81
70,9.73,19.36
71,9.03,18.0
72,8.54,17.56
73,9.81,18.24
74,9.05,18.51
75,9.99,18.97
76,9.84,19.05
77,9.48,18.98
78,10.11,18.44
79,9.95,19.32
80,9.57,19.62
81,10.9,20.36
82,10.62,20.77
83,10.21,22.04
84,11.15,20.68
85,11.72,18.77
86,10.83,19.0
87,10.27,18.99
88,11.64,20.49
89,11.99,19.71
90,9.78,19.96
91,9.34,20.74
92,11.13,21.43
93,10.13,20.83
94,10.75,20.64
95,11.19,20.39
96,11.01,21.5
97,11.37,22.35
98,10.55,22.65
99,12.33,20.99
100,10.78,20.96
101,10.86,21.85
102,11.97,22.72
103,11.81,22.33
104,11.35,22.07
105,11.59,22.38
106,11.99,22.43
107,12.3,21.9
108,12.18,22.12
109,12.33,22.66
110,11.42,22.79
111,11.62,23.66
112,12.08,23.35
113,13.06,23.93
114,12.77,23.65
115,12.36,24.6
116,12.73,22.79
117,13.57,23.46
118,12.64,23.06
119,14.65,25.67
120,14.55,24.69
121,14.24,24.34
122,14.28,25.1
123,14.71,24.96
124,14.58,24.6
125,14.65,26.13
126,13.93,25.24
127,14.81,26.34
128,14.29,25.37
129,14.47,24.4
130,15.53,25.98
131,15.33,27.13
132,14.85,26.56
133,15.19,25.73
134,14.92,26.07
135,16.04,26.16
136,15.28,27.36
137,15.44,28.91
138,16.35,27.65
139,16.1,27.88
140,16.12,25.99
141,15.74,26.0
142,15.97,28.0
143,15.96,28.84
144,16.86,29.12
145,16.32,27.94
146,16.65,28.11
147,16.58,28.53
148,17.94,30.05
149,16.78,29.68
150,17.43,28.39
151,17.36,28.7
152,16.79,28.41
153,16.33,28.62
154,17.74,29.18
155,17.72,29.35
156,18.15,30.49
157,18.82,29.47
158,18.97,30.0
159,18.65,30.63
160,17.74,32.18
161,19.04,32.93
162,19.22,32.46
163,19.17,31.63
164,19.67,31.97
165,20.8,32.98
166,20.77,31.54
167,20.36,31.97
168,20.24,31.86
169,19.76,32.35
170,19.59,32.6
171,20.98,32.7
172,19.6,33.86
173,19.88,33.04
174,20.68,32.49
175,20.13,33.46
176,21.76,33.58
177,20.78,33.55
178,20.81,34.17
179,22.27,34.34
180,22.47,33.44
181,21.46,32.28
182,20.99,34.14
183,22.01,33.9
184,21.73,33.4
185,21.18,33.7
186,21.66,34.07
187,21.81,34.27
188,22.0,33.59
189,22.57,34.24
190,22.93,34.62
191,22.93,32.98
192,21.63,33.32
193,21.81,33.0
194,21.95,34.22
195,21.76,32.82
196,21.8,33.89
197,22.16,34.83
198,22.36,34.62
199,22.11,34.62
200,21.99,34.0
201,22.04,34.11
202,21.16,34.49
203,22.49,34.66
204,22.5,34.83
205,24.04,35.33
206,22.83,33.93
207,23.06,33.67
208,22.58,34.16
209,23.11,35.17
210,21.91,34.67
211,22.75,34.64
212,22.7,36.56
213,22.64,37.36
214,23.09,36.59
215,23.24,36.21
216,23.72,36.07
217,22.65,36.78
218,22.71,35.98
219,23.54,35.86
220,23.99,36.0
221,23.74,35.72
222,23.76,35.99
223,23.54,35.64
224,22.94,35.03
225,22.63,34.89
226,22.43,33.02
227,22.65,33.06
228,22.08,34.0
229,21.75,34.58
230,21.96,34.83
231,22.12,34.16
232,21.71,34.8
233,22.68,34.73
234,22.04,35.42
235,22.41,34.61
236,22.07,35.22
237,22.6,35.32
238,21.3,35.14
239,22.38,33.03
240,22.24,32.81
241,22.78,32.2
242,23.86,33.41
243,21.91,31.93
244,21.08,31.68
245,20.35,30.19
246,21.48,31.39
247,22.21,30.96
248,21.08,30.62
249,20.72,30.91
250,19.83,30.59
251,20.86,30.2
252,20.68,30.16
253,20.12,31.15
254,19.51,31.71
255,19.12,32.0
256,19.95,31.82
257,20.64,30.2
258,19.79,30.93
259,20.21,31.4
260,19.9,30.91
261,20.89,29.25
262,20.18,28.94
263,19.92,29.2
264,19.66,29.1
265,19.05,27.48
266,18.93,27.56
267,19.68,27.32
268,18.23,27.12
269,18.85,27.02
270,18.88,27.58
271,18.3,26.64
272,18.27,27.68
273,18.49,27.06
274,18.75,26.22
275,17.87,26.22
276,18.21,26.52
277,17.96,26.5
278,17.33,26.02
279,17.72,24.89
280,17.67,24.91
281,16.64,24.45
282,15.76,24.77
283,16.43,25.05
284,17.82,25.8
285,17.31,25.42
286,17.38,24.96
287,18.14,25.57
288,18.14,25.63
289,16.73,24.45
290,16.41,24.41
291,16.91,25.05
292,16.11,25.17
293,15.14,24.25
294,16.67,24.43
295,16.36,24.89
296,14.66,24.01
297,16.04,23.22
298,15.22,24.27
299,16.21,25.04
300,15.55,24.66
301,15.68,23.07
302,15.31,22.92
303,16.34,21.85
304,15.15,21.56
305,15.66,21.48
306,15.76,21.76
307,15.24,21.42
308,15.24,21.88
309,16.24,21.82
310,15.16,21.07
311,15.17,20.85
312,13.63,20.18
313,12.34,20.06
314,12.65,19.51
315,12.67,19.7
316,14.12,19.02
317,14.23,18.95
318,14.6,19.61
319,15.41,20.46
320,15.48,20.27
321,14.87,20.34
322,12.93,19.41
323,12.3,19.43
324,13.18,17.66
325,12.38,18.47
326,11.18,18.13
327,12.06,18.02
328,12.46,18.23
329,12.93,18.63
330,12.97,17.85
331,11.55,17.54
332,11.62,17.79
333,10.5,17.12
334,10.65,16.29
335,11.46,16.83
336,10.07,16.65
337,11.73,17.04
338,12.05,17.67
339,11.73,16.95
340,12.65,16.29
341,11.31,16.54
342,10.27,16.86
343,10.97,16.31
344,10.47,16.17
345,9.76,15.73
346,10.72,16.03
347,7.99,15.82
348,9.0,14.91
349,11.45,15.86
350,10.74,15.67
351,10.4,15.05
352,9.45,15.02
353,8.05,14.46
354,8.62,14.74
355,11.38,15.16
356,10.51,15.4
357,12.52,16.38
358,10.91,16.48
359,11.25,15.58
360,9.92,14.75
361,10.2,15.14
362,9.06,13.96
363,9.66,13.63
364,9.37,14.25
365,11.12,15.14
