day_of_year,tmin_95p,tmax_95p
1,1.42,5.74
2,2.78,6.96
3,2.99,6.49
4,1.9,5.4
5,0.85,4.88
6,2.59,4.15
7,3.35,6.3
8,4.3,7.01
9,2.42,5.42
10,1.36,7.69
11,3.16,6.15
12,3.83,6.46
13,2.3,5.24
14,2.18,5.08
15,3.41,6.6
16,3.55,6.69
17,2.54,5.36
18,3.06,5.51
19,0.93,4.6
20,1.17,5.56
21,3.06,6.8
22,1.41,5.44
23,-0.38,3.89
24,1.02,6.66
25,0.92,5.25
26,1.61,4.83
27,1.06,4.69
28,1.28,5.56
29,1.9,6.0
30,0.93,4.82
31,0.38,3.55
32,1.35,4.65
33,1.75,5.9
34,0.89,5.75
35,2.44,6.53
36,1.55,4.67
37,1.94,6.15
38,2.47,4.88
39,2.25,4.8
40,2.19,5.63
41,2.81,6.08
42,1.13,4.49
43,0.65,4.59
44,0.26,5.29
45,0.28,5.59
46,0.8,5.92
47,2.35,8.13
48,2.43,6.42
49,1.69,7.37
50,3.02,6.58
51,1.68,5.05
52,2.26,6.0
53,2.97,7.23
54,3.21,7.4
55,4.12,8.02
56,2.11,6.9
57,1.98,6.37
58,2.94,6.59
59,1.35,7.39
60,1.97,6.92
61,1.71,6.2
62,2.72,7.26
63,1.82,5.03
64,0.99,4.73
65,1.53,5.37
66,2.74,6.73
67,3.21,9.1
68,3.0,8.65
69,3.49,8.87
70,3.45,8.51
71,3.35,9.27
72,3.5,9.72
73,2.08,9.9
74,2.05,10.21
75,2.33,8.39
76,2.44,9.12
77,1.64,9.49
78,3.38,9.4
79,3.0,8.14
80,3.71,10.02
81,3.42,9.64
82,3.06,10.92
83,3.2,9.69
84,1.24,10.21
85,2.2,12.0
86,3.24,12.22
87,2.34,11.49
88,3.79,12.49
89,3.08,10.8
90,3.62,12.02
91,4.03,12.05
92,4.12,12.71
93,4.16,12.54
94,3.86,12.24
95,3.15,11.17
96,5.47,10.82
97,4.47,12.34
98,4.23,11.26
99,3.94,14.11
100,5.07,13.32
101,4.53,13.58
102,4.68,11.42
103,4.69,13.22
104,3.7,12.54
105,4.08,13.34
106,6.36,14.92
107,4.89,14.34
108,5.06,13.68
109,5.33,16.01
110,5.63,16.89
111,6.15,15.34
112,5.78,15.82
113,6.05,17.52
114,6.12,16.34
115,6.74,16.82
116,7.31,16.17
117,7.99,17.21
118,7.98,17.02
119,8.25,15.75
120,7.73,15.41
121,7.01,15.75
122,7.15,15.36
123,7.32,16.32
124,7.39,15.1
125,7.4,17.46
126,8.05,17.35
127,8.79,18.7
128,9.32,18.93
129,9.27,18.62
130,10.34,20.22
131,9.74,21.25
132,10.69,20.59
133,9.04,18.13
134,8.92,18.32
135,9.31,19.92
136,9.58,19.18
137,9.65,18.52
138,10.21,19.07
139,11.45,19.55
140,10.5,22.74
141,11.75,22.05
142,11.28,22.21
143,10.72,20.45
144,11.17,20.94
145,12.38,20.95
146,11.5,20.11
147,11.62,20.85
148,11.44,20.92
149,11.63,19.6
150,12.18,20.73
151,10.85,21.09
152,12.66,23.03
153,13.0,24.59
154,13.32,22.56
155,13.54,22.92
156,13.16,21.78
157,14.05,22.22
158,14.31,24.19
159,14.1,23.6
160,14.72,24.4
161,14.7,22.74
162,14.93,22.74
163,14.36,22.66
164,14.37,22.8
165,13.99,22.55
166,14.69,23.46
167,13.89,22.65
168,14.07,22.69
169,14.9,25.05
170,15.37,23.38
171,14.38,23.46
172,15.06,22.32
173,14.7,20.62
174,14.85,22.15
175,15.18,22.93
176,14.79,22.9
177,14.68,24.21
178,14.82,25.43
179,15.27,26.36
180,15.37,25.15
181,15.84,23.19
182,16.25,23.13
183,16.93,25.67
184,16.25,24.36
185,17.35,25.43
186,16.77,24.44
187,16.96,26.48
188,17.1,26.83
189,17.21,25.48
190,17.43,24.49
191,17.4,25.77
192,17.66,26.96
193,18.26,27.25
194,18.27,26.82
195,19.14,26.99
196,17.96,26.28
197,18.24,25.99
198,17.98,25.85
199,18.07,25.68
200,17.76,25.03
201,18.04,25.08
202,18.45,25.18
203,18.31,25.51
204,17.7,26.14
205,17.19,26.85
206,17.77,27.87
207,18.67,26.84
208,18.34,28.63
209,19.67,28.58
210,20.14,27.18
211,19.99,26.73
212,19.03,25.92
213,19.16,26.6
214,18.72,26.87
215,18.58,26.28
216,18.7,26.57
217,18.75,25.64
218,18.99,25.06
219,17.59,24.66
220,18.0,27.02
221,18.3,27.13
222,18.22,26.5
223,17.52,23.6
224,17.88,24.59
225,18.19,24.32
226,16.96,24.96
227,17.32,24.44
228,16.81,23.82
229,17.1,25.4
230,17.32,24.14
231,16.52,25.17
232,17.22,25.68
233,17.6,25.44
234,16.6,25.56
235,17.97,25.63
236,17.18,23.79
237,17.49,22.9
238,17.74,24.57
239,17.8,24.31
240,16.34,23.53
241,17.51,23.07
242,17.09,22.55
243,16.53,22.9
244,16.1,22.68
245,15.42,21.64
246,16.46,22.65
247,15.5,21.27
248,15.92,21.45
249,14.04,21.04
250,14.63,20.93
251,15.78,22.24
252,13.49,21.97
253,14.66,19.59
254,13.72,19.71
255,14.65,20.94
256,13.88,20.98
257,13.69,19.98
258,14.09,18.97
259,13.09,19.01
260,13.39,16.94
261,13.77,18.89
262,13.95,18.31
263,13.0,17.84
264,12.4,19.08
265,12.4,19.02
266,12.39,18.21
267,12.57,18.9
268,12.25,17.64
269,12.52,17.95
270,12.96,17.81
271,12.81,16.93
272,12.24,18.32
273,12.06,16.69
274,11.58,16.76
275,11.41,16.24
276,11.61,15.53
277,11.48,15.29
278,11.14,15.02
279,10.5,14.81
280,11.6,14.66
281,11.53,15.09
282,11.52,15.25
283,12.07,15.06
284,9.67,14.64
285,10.24,14.5
286,10.28,14.26
287,8.99,14.03
288,8.87,12.86
289,9.54,13.06
290,10.48,14.2
291,8.99,13.3
292,9.52,13.23
293,9.64,11.98
294,9.19,12.22
295,9.28,12.57
296,10.69,12.94
297,8.47,12.24
298,8.57,11.33
299,8.48,12.21
300,10.54,12.88
301,8.98,11.96
302,7.15,10.79
303,7.25,10.77
304,7.1,11.15
305,7.37,11.59
306,8.86,11.47
307,9.15,11.41
308,8.38,11.76
309,7.75,10.35
310,7.69,10.2
311,7.63,10.5
312,6.72,9.75
313,6.98,9.25
314,6.87,8.82
315,6.32,8.95
316,6.92,10.13
317,6.42,9.27
318,6.37,7.7
319,6.19,9.45
320,5.76,10.0
321,6.71,8.67
322,6.01,8.0
323,6.12,8.29
324,4.65,9.02
325,5.75,7.26
326,5.36,7.8
327,6.41,7.77
328,5.23,8.0
329,5.26,8.3
330,5.95,8.26
331,5.46,8.28
332,5.42,7.54
333,4.38,7.94
334,4.79,7.28
335,5.82,7.6
336,4.85,7.01
337,4.14,7.42
338,4.87,7.32
339,4.48,8.86
340,6.31,9.63
341,5.87,7.39
342,4.94,7.28
343,5.15,7.42
344,4.05,6.89
345,3.72,6.98
346,4.17,7.0
347,3.63,7.28
348,3.41,7.75
349,3.54,6.28
350,3.42,6.65
351,2.99,6.35
352,3.57,6.32
353,3.95,6.7
354,4.29,6.82
355,4.73,6.87
356,4.42,6.39
357,3.2,5.43
358,3.3,6.0
359,4.37,6.82
360,2.09,6.31
361,2.89,6.79
362,3.11,5.37
363,3.02,5.95
364,3.37,6.13
365,2.81,6.71
